Country,Region,City,Type,North_Traffic (m),East_Traffic (m),West_Traffic (m),South_Traffic (m),North_Time(s),East_Time(s),West_Time(s),South_Time(s)
India,LBS Marg Junction,Mumbai,4-way,28,450,28,45,41,105,41,48
India,Gandhi Nagar Junction,Mumbai,4-way,89,444,42,160,66,105,47,78
India,Jolly Marg Junction,Mumbai,4-way,50,59,154,122,50,54,77,73
India,Nikolsawadi Circle,Mumbai,4-way,15,86,41,71,28,64,46,58
India,MIDC A Cross Road,Mumbai,4-way,106,0,1032,31,71,10,105,42
India,N S Phadke Marg,Mumbai,4-way,113,15,23,58,72,28,38,53
India,Gokhale Bridge,Delhi,4-way,57,34,596,1161,53,44,105,105
India,DND Flyway,Delhi,4-way,74,124,129,15,60,73,74,28
India,Maharani Bagh,Delhi,4-way,57,212,46,87,53,85,48,65
India,Burari Road,Delhi,4-way,62,47,439,16,55,49,105,29
India,Khyber Pass Crossing,Delhi,4-way,13,18,88,1157,26,32,65,105
India,Nigam Bodh Ghat,Delhi,4-way,49,379,670,144,50,105,105,76
India,P.S. Timarpur,Delhi,4-way,29,1,74,12,42,11,60,24
India,Mall Road,Delhi,4-way,200,711,1174,77,83,105,105,61
India,Chennai Bypass Road,Chennai,4-way,123,16,15,1061,73,29,28,105
India,Bangalore Chennai Expressway,Chennai,4-way,14,80,18,26,27,62,32,40
India,Anna Salai,Chennai,4-way,73,58,36,82,59,53,44,63
India,EVR Periyar Salai,Chennai,4-way,200,139,153,9,83,75,77,21
India,Arukilpadi road,Chennai,4-way,53,14,729,11,51,27,105,23
India,Thakkolam,Chennai,4-way,16,113,13,90,29,72,26,66
India,Golden Quadrilateral,Chennai,4-way,991,18,6,54,105,32,17,52
India,Chowringhee Road,Kolkata,4-way,214,5,53,56,85,16,51,52
India,Hazra Road,Kolkata,4-way,91,31,670,14,66,42,105,27
India,Park Street,Kolkata,4-way,90,50,13,11,66,50,26,23
India,Hazra Road,Kolkata,4-way,14,10,70,729,27,22,58,105
India,College Street,Kolkata,4-way,178,1,87,199,80,11,65,83
India,Jaddu Mullick Street,Kolkata,4-way,0,11,123,14,10,23,73,27
India,Raja SC Mullick Road,Kolkata,4-way,474,87,29,60,105,65,42,54
India,Burdwan Road,Kolkata,4-way,12,0,709,1042,24,10,105,105
India,Burdwan Road,Kolkata,4-way,188,0,3,84,82,10,14,64
India,Eastern Metropolitan Bypass,Kolkata,4-way,108,7,47,9,71,18,49,21
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,18,1158,50,59,32,105,50,54
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,25,14,726,150,40,27,105,77
India,Mahatma Gandhi Marg,Indore,4-way,65,14,73,11,56,27,59,23
India,A.B. Road,Indore,4-way,190,79,165,14,82,62,79,27
India,Dewas Road,Indore,4-way,88,97,15,13,65,69,28,26
India,Ujjain Road,Indore,4-way,132,732,164,0,74,105,79,10
India,Dhar Road,Indore,4-way,0,92,10,8,10,67,22,20
India,Pithampur Road,Indore,4-way,1017,5,10,1079,105,16,22,105
India,Khandwa Road,Indore,4-way,99,652,161,139,70,105,78,75
India,Nemawar Road,Indore,4-way,77,0,392,726,61,10,105,105
India,Sarafa Bazaar,Indore,4-way,17,101,20,521,30,70,34,105
India,Chappan Dukan,Indore,4-way,84,189,81,1045,64,82,62,105
India,Olpad-Rander Road,Surat,4-way,19,75,58,10,33,60,53,22
India,Hazira-Adajan Road,Surat,4-way,34,0,14,16,44,10,27,29
India,Sachin-Udhna Road,Surat,4-way,12,1055,158,1095,24,105,78,105
India,Dumas-Athwa Road,Surat,4-way,180,60,9,10,81,54,21,22
India,Kamrej-Varachha Road,Surat,4-way,127,124,892,190,74,73,105,82
India,Kadodara-Sahara Road,Surat,4-way,117,56,50,34,72,52,50,44
India,National Highway 6 (NH6),Surat,4-way,179,159,74,25,81,78,60,40
India,National Highway 8 (NH8),Surat,4-way,34,17,38,61,44,30,45,54
India,Outer Ring Road,Surat,4-way,177,4,4,159,80,15,15,78
India,Surat-Chennai Expressway,Surat,4-way,9,114,28,1,21,72,41,11
India,J.M. Road,Pune,4-way,16,17,18,20,29,30,32,34
India,Fergusson College Road (FC Road),Pune,4-way,173,34,152,451,80,44,77,105
India,Laxmi Road,Pune,4-way,11,649,17,24,23,105,30,39
India,Shivaji Nagar,Pune,4-way,43,74,129,18,47,60,74,32
India,Koregaon Park,Pune,4-way,126,35,7,20,73,44,18,34
India,Kothrud,Pune,4-way,17,31,24,548,30,42,39,105
India,Viman Nagar,Pune,4-way,26,33,1196,213,40,43,105,85
India,Aundh,Pune,4-way,74,192,124,18,60,82,73,32
India,Magarpatta City,Pune,4-way,78,199,1,106,61,83,11,71
India,New Kalyani Nagar,Pune,4-way,41,17,18,131,46,30,32,74
India,LBS Marg Junction,Mumbai,4-way,79,12,7,195,62,24,18,83
India,Gandhi Nagar Junction,Mumbai,4-way,44,25,12,0,48,40,24,10
India,Jolly Marg Junction,Mumbai,4-way,160,71,200,65,78,58,83,56
India,Nikolsawadi Circle,Mumbai,4-way,1051,16,72,59,105,29,59,54
India,MIDC A Cross Road,Mumbai,4-way,45,5,9,174,48,16,21,80
India,N S Phadke Marg,Mumbai,4-way,163,3,17,185,78,14,30,81
India,Gokhale Bridge,Delhi,4-way,19,4,139,4,33,15,75,15
India,DND Flyway,Delhi,4-way,2,434,0,0,12,105,10,10
India,Maharani Bagh,Delhi,4-way,20,38,76,71,34,45,60,58
India,Burari Road,Delhi,4-way,0,331,155,1115,10,105,77,105
India,Khyber Pass Crossing,Delhi,4-way,128,19,0,581,74,33,10,105
India,Nigam Bodh Ghat,Delhi,4-way,196,46,199,4,83,48,83,15
India,P.S. Timarpur,Delhi,4-way,13,85,752,65,26,64,105,56
India,Mall Road,Delhi,4-way,13,56,9,18,26,52,21,32
India,Chennai Bypass Road,Chennai,4-way,393,11,308,30,105,23,105,42
India,Bangalore Chennai Expressway,Chennai,4-way,11,68,7,102,23,57,18,70
India,Anna Salai,Chennai,4-way,60,84,16,970,54,64,29,105
India,EVR Periyar Salai,Chennai,4-way,84,14,642,85,64,27,105,64
India,Arukilpadi road,Chennai,4-way,15,20,928,20,28,34,105,34
India,Thakkolam,Chennai,4-way,18,0,62,15,32,10,55,28
India,Golden Quadrilateral,Chennai,4-way,0,35,70,109,10,44,58,71
India,Chowringhee Road,Kolkata,4-way,38,9,50,848,45,21,50,105
India,Hazra Road,Kolkata,4-way,812,5,101,17,105,16,70,30
India,Park Street,Kolkata,4-way,9,194,193,1123,21,83,82,105
India,Hazra Road,Kolkata,4-way,3,17,16,2,14,30,29,12
India,College Street,Kolkata,4-way,68,520,11,3,57,105,23,14
India,Jaddu Mullick Street,Kolkata,4-way,82,2,58,13,63,12,53,26
India,Raja SC Mullick Road,Kolkata,4-way,0,37,0,101,10,45,10,70
India,Burdwan Road,Kolkata,4-way,64,117,610,65,56,72,105,56
India,Burdwan Road,Kolkata,4-way,97,30,170,0,69,42,79,10
India,Eastern Metropolitan Bypass,Kolkata,4-way,15,1,165,150,28,11,79,77
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,20,610,355,20,34,105,105,34
India,Shyama Prasad Mukherjee Road,Kolkata,4-way,14,44,132,136,27,48,74,75
India,Mahatma Gandhi Marg,Indore,4-way,15,48,42,105,28,49,47,71
India,A.B. Road,Indore,4-way,77,194,72,12,61,83,59,24
India,Dewas Road,Indore,4-way,141,87,62,108,75,65,55,71
India,Ujjain Road,Indore,4-way,752,20,603,26,105,34,105,40
India,Dhar Road,Indore,4-way,170,934,65,1108,79,105,56,105
India,Pithampur Road,Indore,4-way,11,26,16,4,23,40,29,15
India,Khandwa Road,Indore,4-way,97,872,2,9,69,105,12,21
India,Nemawar Road,Indore,4-way,6,1107,11,0,17,105,23,10
India,Sarafa Bazaar,Indore,4-way,197,154,7,76,83,77,18,60
India,Chappan Dukan,Indore,4-way,15,20,13,27,28,34,26,41
India,Olpad-Rander Road,Surat,4-way,19,85,199,740,33,64,83,105
India,Hazira-Adajan Road,Surat,4-way,12,32,28,400,24,43,41,105
India,Sachin-Udhna Road,Surat,4-way,156,69,49,62,77,58,50,55
India,Dumas-Athwa Road,Surat,4-way,1107,189,80,182,105,82,62,81
India,Kamrej-Varachha Road,Surat,4-way,896,8,889,8,105,20,105,20
India,Kadodara-Sahara Road,Surat,4-way,147,15,44,144,76,28,48,76
India,National Highway 6 (NH6),Surat,4-way,567,56,9,178,105,52,21,80
India,National Highway 8 (NH8),Surat,4-way,991,16,0,120,105,29,10,73
India,Outer Ring Road,Surat,4-way,8,40,126,1,20,46,73,11
India,Surat-Chennai Expressway,Surat,4-way,18,1132,15,19,32,105,28,33
India,J.M. Road,Pune,4-way,788,329,19,20,105,105,33,34
India,Fergusson College Road (FC Road),Pune,4-way,66,90,20,123,56,66,34,73
India,Laxmi Road,Pune,4-way,39,70,74,20,46,58,60,34
India,Shivaji Nagar,Pune,4-way,136,94,8,6,75,68,20,17
India,Koregaon Park,Pune,4-way,249,199,74,12,90,83,60,24
India,Kothrud,Pune,4-way,82,940,1138,229,63,105,105,87
